Sex,Decision
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Promoted
Male,Not Promoted
Male,Not Promoted
Male,Not Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
Female,Not Promoted
